Date,GLD,SPY,TLT
2011-07-06,0.28446,0.61101,0.10452
2011-08-04,0.4499,0.39416,0.15594
2011-09-02,0.28364,0.61206,0.10429
2011-10-03,0.28503,0.61026,0.10471
2011-11-01,0.0,0.84625,0.15375
2011-11-30,0.28388,0.61173,0.1044
2011-12-29,0.28428,0.61129,0.10443
2012-01-27,0.2837,0.61192,0.10438
2012-02-27,0.28428,0.61129,0.10443
2012-03-27,0.28498,0.61035,0.10467
2012-04-25,0.28431,0.61125,0.10444
2012-05-24,0.28436,0.61109,0.10455
2012-06-22,0.2836,0.61212,0.10427
2012-07-23,0.2843,0.61127,0.10444
2012-08-21,0.2843,0.61126,0.10444
2012-09-19,0.28435,0.61119,0.10446
2012-10-18,0.28494,0.6104,0.10467
2012-11-16,0.28518,0.61009,0.10474
2012-12-17,0.28351,0.61224,0.10425
2013-01-15,0.28466,0.61075,0.10459
2013-02-13,0.28394,0.61171,0.10435
2013-03-14,0.28409,0.61152,0.10439
2013-04-12,0.28413,0.61137,0.1045
2013-05-13,0.28516,0.61011,0.10473
2013-06-11,0.44981,0.39425,0.15594
2013-07-10,0.285,0.61031,0.10469
2013-08-08,0.45035,0.39363,0.15603
2013-09-06,0.45017,0.39385,0.15598
2013-10-07,0.45009,0.39392,0.15599
2013-11-05,0.45025,0.3937,0.15605
2013-12-04,0.44981,0.3942,0.15599
2014-01-02,0.28327,0.61253,0.1042
2014-01-31,0.4503,0.39367,0.15603
2014-03-03,0.45002,0.39396,0.15602
2014-04-01,0.45034,0.39362,0.15603
2014-04-30,0.45036,0.39358,0.15606
2014-05-29,0.28343,0.61234,0.10423
2014-06-27,0.45036,0.39361,0.15603
2014-07-28,0.28432,0.61123,0.10445
2014-08-26,0.28438,0.61115,0.10447
2014-09-24,0.28338,0.6124,0.10422
2014-10-23,0.45041,0.39353,0.15607
2014-11-21,0.45043,0.39351,0.15606
2014-12-22,0.28327,0.61253,0.1042
2015-01-20,0.45029,0.39364,0.15607
2015-02-18,0.45044,0.3935,0.15606
2015-03-19,0.28344,0.61233,0.10423
2015-04-17,0.2832,0.61261,0.10419
2015-05-18,0.28397,0.61164,0.10439
2015-06-16,0.28339,0.61238,0.10422
2015-07-15,0.28431,0.61124,0.10444
2015-08-13,0.28345,0.61232,0.10423
2015-09-11,0.28342,0.61235,0.10423
2015-10-12,0.4504,0.39354,0.15606
2015-11-10,0.4503,0.39363,0.15607
2015-12-09,0.28346,0.6123,0.10424
2016-01-07,0.28343,0.61234,0.10423
2016-02-05,0.28346,0.61231,0.10424
2016-03-07,0.28349,0.61226,0.10425
2016-04-05,0.28344,0.61233,0.10423
2016-05-04,0.45028,0.39365,0.15607
2016-06-02,0.28511,0.6101,0.10478
2016-07-01,0.28347,0.61228,0.10424
2016-08-01,0.28344,0.61233,0.10423
2016-08-30,0.45015,0.39376,0.15609
2016-09-28,0.45026,0.39367,0.15607
2016-10-27,0.44889,0.39492,0.15619
2016-11-25,0.45024,0.39368,0.15608
